airportId,iata,longitude,latitude
5A8,WKK,-158.617996216,59.2826004028
AGGH,HIR,160.05499267578,-9.4280004501343
AGGM,MUA,157.26300048828125,-8.327969551086426
AHJ,AHJ,102.35224,32.53154
ANYN,INU,166.919006,-0.547458
AXF,AXF,105.58858,38.74831
AYBK,BUA,154.67300415039062,-5.4223198890686035
AYCH,CMU,144.9709930419922,-6.024290084838867
AYDU,DAU,143.207992554,-9.08675956726
AYGA,GKA,145.391998291,-6.081689834590001
AYGN,GUR,150.333999634,-10.3114995956
AYGR,PNP,148.309005737,-8.80453968048
AYHK,HKN,150.40499877929688,-5.462170124053955
AYKM,KMA,145.770996094,-7.96361017227
AYKV,KVG,150.807998657,-2.57940006256
AYMD,MAG,145.789001465,-5.20707988739
AYMH,HGU,144.29600524902344,-5.826789855957031
AYMN,MDU,143.656998,-6.14774
AYMO,MAS,147.423996,-2.06189
AYNZ,LAE,146.725977,-6.569803
AYPY,POM,147.22000122070312,-9.443380355834961
AYTK,RAB,152.380004883,-4.34045982361
AYVN,VAI,141.3028,-2.6926
AYWD,WBM,143.89500427246094,-5.6433000564575195
AYWK,WWK,143.669006348,-3.58383011818
AZ-0001,ZXT,49.9768066406,40.4955422161
BCW,BCW,35.43830108642578,-21.853300094604492
BG-JAM,JAM,26.3521995544,42.4548988342
BGAA,JEG,-52.7846984863,68.7218017578
BGBW,UAK,-45.4259986877,61.1604995728
BGGH,GOH,-51.6781005859,64.19090271
BGSF,SFJ,-50.7116031647,67.0122218992
BGSS,JHS,-53.729301,66.951302
BGTL,THU,-68.7032012939,76.5311965942
BIAR,AEY,-18.07270050048828,65.66000366210938
BIEG,EGS,-14.401399612426758,65.2833023071289
BIHN,HFN,-15.2272,64.295601
BIHU,HZK,-17.426001,65.952301
BIIS,IFJ,-23.135299682617188,66.05809783935547
BIKF,KEF,-22.6056,63.985001
BIRK,RKV,-21.9405994415,64.1299972534
BISI,SIJ,-18.9167,66.133301
BIVM,VEY,-20.278900146484375,63.42430114746094
BKPR,PRN,21.035801,42.5728
BR-0569,VDC,-40.914804,-14.907885
BZ-BGK,BGK,-88.40791320800781,16.51936912536621
BZ-CUK,CUK,-88.03250122070312,17.734699249267578
BZ-CYC,CYC,-88.04109954833984,17.7007999420166
BZ-CZH,CZH,-88.41190338134766,18.382200241088867
BZ-DGA,DGA,-88.23098754882812,16.98250961303711
BZ-PLJ,PLJ,-88.36151123046875,16.536956787109375
BZ-PND,PND,-88.80829620360001,16.102399826
BZ-SJX,SJX,-88.13079833984375,18.35610008239746
BZ-SPR,SPR,-87.9711,17.9139
BZ-TZA,TZA,-88.19444274902344,17.516389846801758
BZB,BZB,35.4729,-21.5411
CN-0010,INC,106.393214,38.322758
CN-0011,YNT,120.9872,37.65722
CN-0012,YUA,101.88200378418,25.737499237061
CN-0024,ZQZ,114.930000305,40.7386016846
CN-0027,BSD,99.168297,25.053301
CN-0040,LNJ,100.025001526,23.738100051900002
CN-0046,RKZ,89.311401,29.3519
CN-0050,PZI,101.79852,26.54
CN-0061,FUO,113.069999695,23.083299636799996
CN-0067,XAI,114.079141,32.540819
CN-0068,HUZ,114.599998474,23.0499992371
CN-0079,HSC,113.42099762,24.9785995483
CN-0081,JGS,114.736999512,26.856899261499997
CN-0082,AEB,106.959999084,23.7206001282
CN-0091,DOY,118.788002014,37.5085983276
CN-0104,XEN,120.697998047,40.580299377399996
CN-0113,AAT,88.08580780030002,47.7498855591
CN-0130,THQ,105.86000061,34.5593986511
CN-0143,YZY,100.675003052,38.8018989563
CN-0189,DDG,124.286003,40.0247
CY-0002,GEC,33.724358,35.235947
CYAC,YAC,-91.82440185546875,51.72719955444336
CYAG,YAG,-93.439697265625,48.65420150756836
CYAH,YAH,-73.6753005981,53.754699707
CYAL,YAL,-126.91600036621094,50.58219909667969
CYAM,YAM,-84.509399,46.485001
CYAQ,XKS,-88.6427993774414,53.52470016479492
CYAS,YKG,-69.99919891357422,60.027198791503906
CYAT,YAT,-82.43190002441406,52.9275016784668
CYAY,YAY,-56.083099365200006,51.3918991089
CYAZ,YAZ,-125.775583,49.079833
CYBB,YBB,-89.808098,68.534401
CYBC,YBC,-68.204399,49.1325
CYBD,QBC,-126.596001,52.387501
CYBE,YBE,-108.48100280761719,59.5614013671875
CYBF,YBY,-110.744003,54.304199
CYBG,YBG,-70.99639892578125,48.33060073852539
CYBK,YBK,-96.077796936,64.29889678960001
CYBL,YBL,-125.271004,49.950802
CYBQ,XTL,-98.512199,58.7061
CYBR,YBR,-99.951897,49.91
CYBT,YBT,-101.679001,57.8894
CYBV,YBV,-97.018303,52.358898
CYBX,YBX,-57.185298919699996,51.443599700899995
CYCA,YRF,-57.041900634765625,53.68280029296875
CYCB,YCB,-105.138000488,69.1081008911
CYCC,YCC,-74.56330108642578,45.09280014038086
CYCD,YCD,-123.869862556,49.054970224899996
CYCE,YCE,-81.508301,43.285599
CYCG,YCG,-117.632003784,49.2963981628
CYCH,YCH,-65.449203,47.007801
CYCL,YCL,-66.330299,47.990799
CYCN,YCN,-81.01360321044922,49.10559844970703
CYCO,YCO,-115.143997,67.816704
CYCQ,YCQ,-121.62699890136719,55.687198638916016
CYCR,YCR,-97.76080322265625,54.610599517822266
CYCS,YCS,-90.73110198970001,63.346900939899996
CYCY,YCY,-68.5167007446,70.4860992432
CYDA,YDA,-139.1280059814453,64.04309844970703
CYDB,YDB,-139.04100036621094,61.37110137939453
CYDF,YDF,-57.39139938354492,49.21080017089844
CYDM,XRR,-132.42300415,61.9706001282
CYDN,YDN,-100.052001953125,51.100799560546875
CYDO,YDO,-72.375,48.778499603271
CYDP,YDP,-61.680301666259766,56.549198150634766
CYDQ,YDQ,-120.18299865722656,55.7422981262207
CYEG,YEG,-113.580001831,53.309700012200004
CYEK,YEK,-94.07080078119999,61.0942001343
CYEL,YEL,-82.5614013672,46.351398468
CYEM,YEM,-81.85810089111328,45.84280014038086
CYEN,YEN,-102.966003418,49.2103004456
CYER,YER,-87.67610168457031,56.01890182495117
CYET,YET,-116.464996338,53.578899383499994
CYEV,YEV,-133.483001709,68.30419921880001
CYEY,YEY,-78.249702,48.563903
CYFA,YFA,-81.6968994140625,52.20140075683594
CYFB,YFB,-68.555801,63.756402
CYFC,YFC,-66.53720092773438,45.868900299072266
CYFE,YFE,-69.09719848632812,48.74610137939453
CYFH,YFH,-87.90779876708984,51.5619010925293
CYFJ,YTM,-74.779999,46.409401
CYFO,YFO,-101.68199920654297,54.6781005859375
CYFR,YFR,-113.690002441,61.1808013916
CYFS,YFS,-121.23699951171875,61.76020050048828
CYFT,YMN,-59.1864013671875,55.076900482177734
CYGB,YGB,-124.51799774169922,49.69419860839844
CYGH,YGH,-128.6510009765625,66.24079895019531
CYGK,YGK,-76.5969009399414,44.22529983520508
CYGL,YGL,-77.7042007446289,53.625301361083984
CYGM,YGM,-97.04329681396484,50.62810134887695
CYGO,YGO,-94.49140167236328,54.55889892578125
CYGP,YGP,-64.4785995483,48.7752990723
CYGQ,YGQ,-86.93939971923828,49.77830123901367
CYGR,YGR,-61.778099060058594,47.42470169067383
CYGT,YGT,-81.8161010742,69.3647003174
CYGV,YGV,-63.61140060424805,50.281898498535156
CYGW,YGW,-77.76529693603516,55.281898498535156
CYGX,YGX,-94.71060180664062,56.35749816894531
CYGZ,YGZ,-82.90920257570001,76.4261016846
CYHA,YQC,-69.6177978515625,61.0463981628418
CYHD,YHD,-92.744202,49.831699
CYHE,YHE,-121.498001099,49.3683013916
CYHF,YHF,-83.68609619140625,49.71419906616211
CYHH,YNS,-76.1355972290039,51.69110107421875
CYHI,YHI,-117.80599975585938,70.76280212402344
CYHK,YHK,-95.84970092770001,68.635597229
CYHM,YHM,-79.93499755859999,43.173599243199995
CYHN,YHN,-84.75890350341797,49.19309997558594
CYHO,YHO,-60.228599548339844,55.448299407958984
CYHR,YHR,-59.63669967651367,50.46889877319336
CYHT,YHT,-137.54600524902344,60.78919982910156
CYHU,YHU,-73.4169006348,45.5175018311
CYHY,YHY,-115.782997131,60.8396987915
CYHZ,YHZ,-63.5085983276,44.8807983398
CYIB,YIB,-91.6386032104,48.7738990784
CYID,YDG,-65.7854247093,44.5458450365
CYIF,YIF,-58.6582984924,51.2117004395
CYIK,YIK,-77.92530059814453,62.417301177978516
CYIO,YIO,-77.9666976929,72.6832962036
CYIV,YIV,-94.65360260009766,53.857200622558594
CYJF,YJF,-123.46900177,60.235801696799996
CYJN,YJN,-73.28109741210938,45.29439926147461
CYJT,YJT,-58.54999923706055,48.5442008972168
CYKA,YKA,-120.444000244,50.7022018433
CYKD,LAK,-135.00599,68.223297
CYKF,YKF,-80.3786010742,43.460800170899994
CYKG,YWB,-71.929397583,61.5886001587
CYKJ,YKJ,-105.61799621582031,57.256099700927734
CYKL,YKL,-66.8052978515625,54.805301666259766
CYKO,AKV,-78.14859771728516,60.818599700927734
CYKQ,YKQ,-78.75830078125,51.47330093383789
CYKX,YKX,-79.98139953613281,48.21030044555664
CYKY,YKY,-109.180999756,51.5175018311
CYKZ,YKZ,-79.37000274658203,43.86220169067383
CYLA,YPJ,-69.59970092773438,59.29669952392578
CYLC,YLC,-69.88330078119999,62.8499984741
CYLD,YLD,-83.3467025756836,47.81999969482422
CYLH,YLH,-87.93419647216797,52.19559860229492
CYLJ,YLJ,-108.52300262451172,54.125301361083984
CYLK,YSG,-110.681998,62.418303
CYLL,YLL,-110.072998046875,53.309200286865234
CYLR,YLR,-99.98529815673828,56.513301849365234
CYLT,YLT,-62.2806015015,82.51779937740001
CYLU,XGR,-65.9927978515625,58.71139907836914
CYLW,YLW,-119.377998352,49.9561004639
CYMA,YMA,-135.8679962158203,63.61640167236328
CYME,YME,-67.45330047607422,48.85689926147461
CYMG,YMG,-85.86060333251953,49.083900451660156
CYMH,YMH,-55.847198486328125,52.302799224853516
CYMJ,YMJ,-105.55899810791016,50.330299377441406
CYML,YML,-70.2238998413086,47.59749984741211
CYMM,YMM,-111.222000122,56.653301239
CYMO,YMO,-80.60780334472656,51.291099548339844
CYMT,YMT,-74.5280990600586,49.77190017700195
CYMU,YUD,-76.51830291748047,56.53609848022461
CYMX,YMX,-74.038696,45.679501
CYNA,YNA,-61.78919982910156,50.189998626708984
CYNC,YNC,-78.83110046386719,53.01060104370117
CYND,YND,-75.563599,45.521702
CYNE,YNE,-97.84420013427734,53.95830154418945
CYNL,YNL,-104.08200073242188,58.27669906616211
CYNM,YNM,-77.80280303955078,49.76169967651367
CYOA,YOA,-110.614997864,64.6988983154
CYOC,YOC,-139.83900451660156,67.57060241699219
CYOD,YOD,-110.27899932861328,54.404998779296875
CYOH,YOH,-95.27890014648438,54.93330001831055
CYOJ,YOJ,-117.16500091552734,58.62139892578125
CYOO,YOO,-78.894997,43.922798
CYOP,YOP,-119.40799713134766,58.49140167236328
CYOS,YOS,-80.8375015259,44.5903015137
CYOW,YOW,-75.66919708251953,45.3224983215332
CYPA,YPA,-105.672996521,53.214199066199996
CYPC,YPC,-124.075469971,69.3608381154
CYPD,YPS,-61.3680992126,45.6567001343
CYPE,YPE,-117.446999,56.226898
CYPG,YPG,-98.273817,49.903099
CYPH,YPH,-78.07689666748047,58.471900939941406
CYPL,YPL,-90.21420288085938,51.4463996887207
CYPM,YPM,-93.97329711914062,51.819698333740234
CYPN,YPN,-64.2885971069336,49.83639907836914
CYPO,YPO,-85.44329833984375,54.98809814453125
CYPQ,YPQ,-78.36329650878906,44.22999954223633
CYPR,YPR,-130.445007324,54.286098480199996
CYPW,YPW,-124.5,49.83420181274414
CYPX,YPX,-77.28690338134766,60.05059814453125
CYPY,YPY,-111.11699676513672,58.7672004699707
CYQA,YQA,-79.30329895019531,44.974700927734375
CYQB,YQB,-71.393303,46.7911
CYQD,YQD,-101.09100341796875,53.97140121459961
CYQF,YQF,-113.89399719238281,52.18220138549805
CYQG,YQG,-82.95559692382812,42.27560043334961
CYQH,YQH,-128.82200622558594,60.11640167236328
CYQI,YQI,-66.08809661865234,43.826900482177734
CYQK,YQK,-94.36309814453125,49.788299560546875
CYQL,YQL,-112.800003052,49.6302986145
CYQM,YQM,-64.678596,46.112202
CYQN,YQN,-86.69640350341797,50.18280029296875
CYQQ,YQQ,-124.88700103759766,49.71080017089844
CYQR,YQR,-104.66600036621094,50.43190002441406
CYQS,YQS,-81.11080169677734,42.77000045776367
CYQT,YQT,-89.32389831542969,48.37189865112305
CYQU,YQU,-118.885002136,55.1796989441
CYQV,YQV,-102.46199798583984,51.26470184326172
CYQW,YQW,-108.24400329589844,52.76919937133789
CYQX,YQX,-54.56809997558594,48.9369010925293
CYQY,YQY,-60.047798,46.1614
CYQZ,YQZ,-122.51000213623047,53.026100158691406
CYRA,YRA,-117.30999755859375,64.11609649658203
CYRB,YRB,-94.9693984985,74.7169036865
CYRI,YRI,-69.58470153808594,47.764400482177734
CYRJ,YRJ,-72.2656021118164,48.52000045776367
CYRL,YRL,-93.79309844970703,51.066898345947266
CYRO,YRO,-75.64610290530001,45.4603004456
CYRQ,YRQ,-72.67939758300781,46.35279846191406
CYRS,YRS,-93.55719757080078,54.167198181152344
CYRT,YRT,-92.1157989502,62.8114013672
CYRV,YRV,-118.182998657,50.9667015076
CYSB,YSB,-80.79889678955078,46.625
CYSC,YSC,-71.69139862060547,45.4385986328125
CYSF,YSF,-105.84100341796875,59.250301361083984
CYSH,YSH,-75.94059753417969,44.94580078125
CYSJ,YSJ,-65.89029693603516,45.31610107421875
CYSK,YSK,-79.2466964722,56.5377998352
CYSL,YSL,-67.83470153808594,47.157501220703125
CYSM,YSM,-111.96199798583984,60.020301818847656
CYSN,YCM,-79.17169952392578,43.19169998168945
CYSP,YSP,-86.34439849853516,48.75529861450195
CYST,YST,-94.85189819335938,53.84560012817383
CYSU,YSU,-63.833599,46.440601
CYSY,YSY,-125.242996216,71.9938964844
CYTA,YTA,-77.25170135498047,45.86439895629883
CYTE,YTE,-76.5267028809,64.2300033569
CYTF,YTF,-71.64189910889999,48.50889968869999
CYTH,YTH,-97.86419677734375,55.80110168457031
CYTL,YTL,-89.89689636230469,53.81779861450195
CYTQ,YTQ,-69.95580291748047,58.66780090332031
CYTR,YTR,-77.5280990600586,44.118900299072266
CYTS,YTS,-81.376701355,48.569698333699996
CYTZ,YTZ,-79.396202,43.627499
CYUB,YUB,-133.0260009765625,69.43329620361328
CYUL,YUL,-73.7407989502,45.4706001282
CYUT,YUT,-86.224701,66.5214
CYUX,YUX,-81.2425,68.77610015869999
CYUY,YUY,-78.83560180664062,48.20610046386719
CYVB,YVB,-65.46029663085938,48.07109832763672
CYVC,YVC,-105.262001038,55.151401519800004
CYVK,YVE,-119.33100128173828,50.24810028076172
CYVM,YVM,-64.03140258789999,67.5457992554
CYVO,YVO,-77.7827987671,48.0532989502
CYVP,YVP,-68.4269027709961,58.096099853515625
CYVQ,YVQ,-126.7979965209961,65.28160095214844
CYVR,YVR,-123.183998108,49.193901062
CYVV,YVV,-81.107201,44.7458
CYVZ,YVZ,-94.0614013671875,52.655799865722656
CYWA,YWA,-77.31919860839844,45.95220184326172
CYWG,YWG,-97.2398986816,49.909999847399995
CYWJ,YWJ,-123.43599700927734,65.21109771728516
CYWK,YWK,-66.8644027709961,52.92190170288086
CYWL,YWL,-122.054000854,52.1831016541
CYWP,YWP,-87.3748683929,52.9593933975
CYWY,YWY,-123.43699645996094,63.20940017700195
CYXC,YXC,-115.78199768066,49.610801696777
CYXE,YXE,-106.69999694824219,52.170799255371094
CYXH,YXH,-110.72100067138672,50.01890182495117
CYXJ,YXJ,-120.739998,56.238098
CYXK,YXK,-68.49690246582031,48.47809982299805
CYXL,YXL,-91.9052963256836,50.11389923095703
CYXN,YXN,-92.59809875490001,62.24000167849999
CYXP,YXP,-65.71360015869999,66.1449966431
CYXQ,YXQ,-140.86700439453125,62.410301208496094
CYXR,YXR,-79.8473453522,47.697400654599996
CYXS,YXS,-122.679000854,53.8894004822
CYXT,YXT,-128.576009,54.468498
CYXU,YXU,-81.1539,43.035599
CYXX,YXX,-122.36100006103516,49.025299072265625
CYXY,YXY,-135.067001343,60.7095985413
CYXZ,YXZ,-84.78669738769531,47.96670150756836
CYYB,YYB,-79.422798,46.363602
CYYC,YYC,-114.019996643,51.113899231
CYYD,YYD,-127.18299865722656,54.82469940185547
CYYE,YYE,-122.597000122,58.8363990784
CYYF,YYF,-119.60199737548828,49.46310043334961
CYYG,YYG,-63.12110137939453,46.290000915527344
CYYH,YYH,-93.576698,69.5467
CYYJ,YYJ,-123.426002502,48.646900177
CYYL,YYL,-101.07599639892578,56.86389923095703
CYYN,YYN,-107.691001892,50.291900634799994
CYYQ,YYQ,-94.06500244140625,58.739200592041016
CYYR,YYR,-60.4258003235,53.3191986084
CYYT,YYT,-52.7518997192,47.618598938
CYYU,YYU,-82.46749877929688,49.41389846801758
CYYW,YYW,-88.90969848632812,50.29029846191406
CYYY,YYY,-68.20809936523438,48.60860061645508
CYYZ,YYZ,-79.63059997559999,43.6772003174
CYZE,YZE,-82.56780242919922,45.88529968261719
CYZF,YZF,-114.44000244140625,62.462799072265625
CYZG,YZG,-75.66719818115234,62.17940139770508
CYZH,YZH,-114.777000427,55.2930984497
CYZP,YZP,-131.813995361,53.25429916379999
CYZR,YZR,-82.30889892578125,42.9994010925293
CYZS,YZS,-83.3593978882,64.1932983398
CYZT,YZT,-127.36699676513672,50.680599212646484
CYZU,YZU,-115.78700256347656,54.14390182495117
CYZV,YZV,-66.2656021118164,50.22330093383789
CYZW,YZW,-132.7429962158203,60.17279815673828
CYZX,YZX,-64.91690063476562,44.98440170288086
CZAC,ZAC,-96.08920288085938,56.08940124511719
CZAM,YSN,-119.228996,50.682802
CZBB,YDT,-123.012001,49.0742
CZBD,ILF,-95.613899231,56.0614013672
CZBF,ZBF,-65.738899231,47.629699707
CZBM,ZBM,-72.74140167239999,45.2907981873
CZEE,KES,-96.50969696039999,56.0374984741
CZEM,ZEM,-78.52249908447266,52.22639846801758
CZFA,ZFA,-133.37600708007812,62.20750045776367
CZFD,ZFD,-107.18199920654297,59.33440017700195
CZFG,XPK,-101.26599884,55.7491989136
CZFM,ZFM,-134.86099243164062,67.40750122070312
CZFN,ZFN,-125.572998,64.909697
CZGF,ZGF,-118.43099975585938,49.01559829711914
CZGI,ZGI,-94.07859802246094,54.839698791503906
CZGR,ZGR,-95.4657974243164,52.04560089111328
CZJG,ZJG,-98.04609680175781,54.51890182495117
CZJN,ZJN,-101.23600006103516,52.120601654052734
CZKE,ZKE,-81.67780303955078,52.282501220703125
CZLQ,YTD,-97.70780181884766,55.31890106201172
CZMD,MSA,-91.76280212402344,53.44139862060547
CZMN,PIW,-97.16419982910156,55.58890151977539
CZMT,ZMT,-132.125,54.02750015258789
CZNG,XPP,-97.2741937637,52.9965258788
CZPB,ZPB,-92.19640350341797,53.8911018371582
CZPC,WPC,-113.997001648,49.520599365200006
CZRJ,ZRJ,-91.31279754638672,52.943599700927734
CZSJ,ZSJ,-93.34439849853516,53.06420135498047
CZSN,XSI,-98.9072036743,56.7928009033
CZST,ZST,-129.982434511,55.935410448
CZTM,ZTM,-92.0813980102539,55.8656005859375
CZUC,ZUC,-91.7177963256836,49.4296989440918
CZWH,XLB,-101.46900177,58.6175003052
CZWL,ZWL,-103.1719970703125,58.10689926147461
DAAB,QLD,2.8141698837280273,36.50360107421875
DAAD,BUJ,4.206389904022217,35.33250045776367
DAAE,BJA,5.0699200630200005,36.7120018005
DAAG,ALG,3.215409994125366,36.691001892089844
DAAJ,DJG,9.45244,24.292801
DAAP,VVZ,8.62265014648,26.7234992981
DAAS,QSF,5.3244900703399995,36.178100585900005
DAAT,TMR,5.45107984543,22.8115005493
DAAV,GJL,5.87361001968,36.7951011658
DAAY,MZW,-0.242353007197,33.535900116
DABB,AAE,7.809174,36.822201
DABC,CZL,6.620389938354492,36.2760009765625
