sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,145,TOM,5.0,123552.57083829294,18502.296732568586,463.50736128,ABZ,TFS,67,Tenerife Island,EU,false
0.0,105,VLG,-1.0,120673.10545371441,13398.21487530829,485.65424640000003,ALG,ALC,60,Alicante,AF,true
0.0,125,DAH,-1.0,143658.45887346953,15950.255803938444,463.50736128,ALG,ALC,60,Alicante,AF,true
0.0,130,VLG,-1.0,149404.7972284083,16588.266036095974,575.010139,ALG,BCN,60,Barcelona,AF,true
0.0,105,VLG,-1.0,120673.10545371441,13398.21487530829,511.9668587,ALG,BCN,60,Barcelona,AF,true
0.0,125,DAH,-1.0,143658.45887346953,15950.255803938444,488.62006149,ALG,BCN,60,Barcelona,AF,true
0.0,70,ANE,-1.0,80448.73696914293,8932.143250205527,321.02973,ALG,MAD,60,Madrid,AF,true
0.0,125,DAH,-1.0,143658.45887346953,15950.255803938444,554.6302875,ALG,MAD,60,Madrid,AF,true
0.0,105,VLG,-1.0,120673.10545371441,13398.21487530829,407.4684159,ALG,VLC,60,Valencia,AF,true
0.0,99,RJA,-1.0,113777.49942778787,12632.602596719244,503.28,AMM,MAD,79,Madrid,AS,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,463.50736128,AMS,AGP,572,Málaga,EU,true
0.0,122,VLG,58263.0,140210.65586050626,15567.449664643915,485.65424640000003,AMS,AGP,572,Málaga,EU,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,463.50736128,AMS,ALC,572,Alicante,EU,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,463.50736128,AMS,ALC,572,Alicante,EU,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,488.62006149,AMS,BCN,572,Barcelona,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,488.62006149,AMS,BCN,572,Barcelona,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,488.62006149,AMS,BCN,572,Barcelona,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,488.62006149,AMS,BCN,572,Barcelona,EU,true
0.0,125,KLM,58263.0,143658.45887346953,15950.255803938444,459.45388455999995,AMS,BCN,572,Barcelona,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,488.62006149,AMS,BCN,572,Barcelona,EU,true
0.0,135,VLG,58263.0,155151.13558334712,17226.27626825351,547.298807,AMS,BCN,572,Barcelona,EU,true
0.0,135,VLG,58263.0,155151.13558334712,17226.27626825351,547.298807,AMS,BCN,572,Barcelona,EU,true
0.0,135,VLG,58263.0,155151.13558334712,17226.27626825351,547.298807,AMS,BCN,572,Barcelona,EU,true
0.0,151,FOO,58263.0,173539.41831915118,19267.909011157633,575.010139,AMS,BCN,572,Barcelona,EU,true
0.0,78,KLC,58263.0,89642.87833704498,9952.959621657588,253.60635709499996,AMS,BIO,572,Bilbao,EU,true
0.0,122,EJU,58263.0,140210.65586050626,15567.449664643915,407.4684159,AMS,FUE,572,Fuerteventura Island,EU,true
0.0,145,TVF,58263.0,166643.81229322465,18502.296732568586,463.50736128,AMS,LPA,572,Gran Canaria Island,EU,true
0.0,187,TFL,58263.0,214913.05447471043,23861.582682691896,1228.13349888,AMS,LPA,572,Gran Canaria Island,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,554.6302875,AMS,MAD,572,Madrid,EU,true
0.0,157,KLM,58263.0,180435.02434507772,20033.521289746677,621.35420625,AMS,MAD,572,Madrid,EU,true
0.0,157,KLM,58263.0,180435.02434507772,20033.521289746677,621.35420625,AMS,MAD,572,Madrid,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,554.6302875,AMS,MAD,572,Madrid,EU,true
0.0,145,KLM,58263.0,166643.81229322465,18502.296732568586,554.6302875,AMS,MAD,572,Madrid,EU,true
0.0,202,AEA,58263.0,232152.06953952677,25775.61337916452,1808.6625,AMS,MAD,572,Madrid,EU,true
0.0,237,AEA,58263.0,272376.4380240982,30241.68500426727,1958.0737499999998,AMS,MAD,572,Madrid,EU,true
0.0,122,IBS,58263.0,140210.65586050626,15567.449664643915,581.131125,AMS,MAD,572,Madrid,EU,true
0.0,122,IBS,58263.0,140210.65586050626,15567.449664643915,581.131125,AMS,MAD,572,Madrid,EU,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,463.50736128,AMS,TFS,572,Tenerife Island,EU,true
0.0,145,TRA,58263.0,166643.81229322465,18502.296732568586,388.88697393,AMS,VLC,572,Valencia,EU,true
0.0,122,VLG,58263.0,140210.65586050626,15567.449664643915,407.4684159,AMS,VLC,572,Valencia,EU,true
0.0,78,KLC,58263.0,89642.87833704498,9952.959621657588,253.60635709499996,AMS,VLC,572,Valencia,EU,true
0.0,78,KLC,58263.0,89642.87833704498,9952.959621657588,253.60635709499996,AMS,VLC,572,Valencia,EU,true
0.0,78,JAF,-1.0,89642.87833704498,9952.959621657588,302.26883712,ANR,ALC,8,Alicante,EU,false
0.0,145,NAX,3000.0,155444.95858177348,32256.834303572403,463.50736128,ARN,AGP,283,Málaga,EU,true
0.0,145,IBK,3000.0,155444.95858177348,32256.834303572403,463.50736128,ARN,AGP,283,Málaga,EU,true
0.0,145,IBK,3000.0,155444.95858177348,32256.834303572403,463.50736128,ARN,ALC,283,Alicante,EU,true
0.0,145,NSW,3000.0,155444.95858177348,32256.834303572403,463.50736128,ARN,LPA,283,Gran Canaria Island,EU,true
0.0,202,VKG,3000.0,216550.90781736717,44937.10709876984,1511.50848,ARN,LPA,283,Gran Canaria Island,EU,true
0.0,145,BLX,3000.0,155444.95858177348,32256.834303572403,463.50736128,ARN,LPA,283,Gran Canaria Island,EU,true
0.0,135,IBE,3000.0,144724.61661061668,30032.22504125706,621.2362499999999,ARN,MAD,283,Madrid,EU,true
0.0,315,AEA,-1.0,362019.3163611432,40194.64462592488,1792.935,ASU,MAD,8,Madrid,SA,true
0.0,151,VLG,3309.0,173539.41831915118,19267.909011157633,575.010139,ATH,BCN,171,Barcelona,EU,true
0.0,145,RYR,3309.0,166643.81229322465,18502.296732568586,554.6302875,ATH,MAD,171,Madrid,EU,true
0.0,122,AEE,3309.0,140210.65586050626,15567.449664643915,581.131125,ATH,MAD,171,Madrid,EU,true
0.0,122,IBE,3309.0,140210.65586050626,15567.449664643915,581.131125,ATH,MAD,171,Madrid,EU,true
9.781196914381497E-5,232,ETD,-1.0,266630.09966915945,29603.674772109738,1725.030417,AUH,BCN,154,Barcelona,AS,true
9.824631112285901E-5,232,ETD,-1.0,266630.09966915945,29603.674772109738,1958.0737499999998,AUH,MAD,154,Madrid,AS,true
0.0,101,ASL,263.0,116076.03476976338,12887.80668958226,503.28,BEG,MAD,69,Madrid,EU,true
0.0,135,EZY,-1.0,115031.70388392791,17226.27626825351,435.58869899999996,BFS,FUE,47,Fuerteventura Island,EU,false
0.0,145,IBK,205.0,155444.95858177348,32256.834303572403,463.50736128,BGO,ALC,95,Alicante,EU,false
0.0,145,NSW,205.0,155444.95858177348,32256.834303572403,463.50736128,BGO,LPA,95,Gran Canaria Island,EU,false
0.0,145,NSW,205.0,155444.95858177348,32256.834303572403,463.50736128,BGO,LPA,95,Gran Canaria Island,EU,false
0.0,145,RYR,302.0,94703.34986422848,15174.210653628576,488.62006149,BGY,BCN,94,Barcelona,EU,false
