sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,continente,capital,origenNombre,destinoNombre
1.6350943927138573E-4,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AES,ALC,16,Alicante,EU,false,Ålesund Airport,Alicante International Airport
0.0,5,OFL,-1.0,5565.364925818882,600.1219557391224,22.89938364,AGA,GRX,21,Granada,AF,false,Al Massira Airport,Federico Garcia Lorca Airport
0.0,52,IBB,-1.0,57879.79522851636,6241.268339686872,151.150848,AGA,LPA,21,Gran Canaria Island,AF,false,Al Massira Airport,Gran Canaria Airport
2.291767881815657E-6,100,VLG,-1.0,111307.29851637763,12002.439114782444,485.65424640000003,ALG,ALC,58,Alicante,AF,true,Houari Boumediene Airport,Alicante International Airport
1.986198830906902E-6,87,DAH,-1.0,96837.34970924853,10442.122029860733,369.59668224,ALG,ALC,58,Alicante,AF,true,Houari Boumediene Airport,Alicante International Airport
2.7235840945142233E-6,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,58,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
1.89732824561665E-6,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,58,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
1.5323649308198343E-6,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,58,Madrid,AF,true,Houari Boumediene Airport,Adolfo Suárez Madrid–Barajas Airport
2.727609576859305E-6,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,58,Madrid,AF,true,Houari Boumediene Airport,Adolfo Suárez Madrid–Barajas Airport
8.647535128047049E-6,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,653,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
8.583911835165614E-6,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,653,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
8.571243459322638E-6,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,653,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
